Commune;Code commune;Code postal;Greffe;Type greffe
MONTREDON DES CORBIERES;11255;11100;NARBONNE;TC
POUZOLS MINERVOIS;11296;11120;NARBONNE;TC
JONQUIERES;11176;11220;NARBONNE;TC
NEVERS;58194;58006;NEVERS;TC
TAZILLY;58287;58170;NEVERS;TC
VARENNES VAUZELLES;58303;58643;NEVERS;TC
SAXI BOURDON;58275;58330;NEVERS;TC
NICE;6088;6176;NICE;TC
NICE;6088;6204;NICE;TC
NICE;6088;6206;NICE;TC
NICE;6088;6207;NICE;TC
NICE;6088;6103;NICE;TC
CHATEAUNEUF DE CONTES;6039;6390;NICE;TC
CONTES;6048;6390;NICE;TC
NICE;6088;6822;NICE;TC
NIMES;30189;30008;NIMES;TC
ALES;30007;30107;NIMES;TC
ALES;30007;30115;NIMES;TC
AUBUSSARGUES;30021;30190;NIMES;TC
ST LAURENT D AIGOUZE;30276;30220;NIMES;TC
LECQUES;30144;30250;NIMES;TC
VERGEZE;30344;30310;NIMES;TC
ALES;30007;30313;NIMES;TC
ST JEAN DE CRIEULON;30265;30610;NIMES;TC
UCHAUD;30333;30620;NIMES;TC
CORNILLON;30096;30630;NIMES;TC
POTELIERES;30204;30500;NIMES;TC
PRAILLES LA COUARDE;79217;79800;NIORT;TC
NIORT;79191;79922;NIORT;TC
NIORT;79191;79927;NIORT;TC
PUIHARDY;79223;79160;NIORT;TC
LA CHAPELLE GAUDIN;79072;79300;NIORT;TC
NOUMEA CEDEX;98818;98862;Nouvelle Calédonie;TC
ST DENIS DE L HOTEL;45273;45559;ORLEANS;TC
GIEN;45155;45503;ORLEANS;TC
ST DENIS EN VAL;45274;45560;ORLEANS;TC
AUTRUY SUR JUINE;45015;45480;ORLEANS;TC
LE MALESHERBOIS;45191;45339;ORLEANS;TC
PIERREFITTE ES BOIS;45251;45360;ORLEANS;TC
ORLEANS;45234;45935;ORLEANS;TC
MAREAU AUX BOIS;45195;45300;ORLEANS;TC
PITHIVIERS;45252;45300;ORLEANS;TC
SERMAISES;45310;45300;ORLEANS;TC
COINCES;45099;45310;ORLEANS;TC
OLIVET;45232;45167;ORLEANS;TC
